Date,Num_Rides
2022-12-29,93498
2022-12-30,92429
2022-12-31,85075
2023-01-01,76752
2023-01-02,65777
2023-01-03,85783
2023-01-04,95092
2023-01-05,101063
2023-01-06,102550
2023-01-07,105036
2023-01-08,85056
2023-01-09,85349
2023-01-10,99916
2023-01-11,106118
2023-01-12,111386
2023-01-13,110719
2023-01-14,112950
2023-01-15,96844
2023-01-16,80120
2023-01-17,101052
2023-01-18,106152
2023-01-19,114603
2023-01-20,109444
2023-01-21,111999
2023-01-22,89651
2023-01-23,89791
2023-01-24,103858
2023-01-25,109196
2023-01-26,114877
2023-01-27,111668
2023-01-28,111645
2023-01-29,88131
2023-01-30,83768
2023-01-31,100372
2023-02-01,107770
2023-02-02,113074
2023-02-03,115149
2023-02-04,98236
2023-02-05,84099
2023-02-06,91046
2023-02-07,106097
2023-02-08,108397
2023-02-09,115122
2023-02-10,114361
2023-02-11,114484
2023-02-12,94403
2023-02-13,92981
2023-02-14,108344
2023-02-15,110638
2023-02-16,112816
2023-02-17,111745
2023-02-18,105272
2023-02-19,90018
2023-02-20,79583
2023-02-21,99877
2023-02-22,110872
2023-02-23,115210
2023-02-24,115471
2023-02-25,113591
2023-02-26,91145
2023-02-27,92969
2023-02-28,101130
2023-03-01,115272
2023-03-02,118944
2023-03-03,116428
2023-03-04,113201
2023-03-05,97012
2023-03-06,93547
2023-03-07,113801
2023-03-08,117449
2023-03-09,121705
2023-03-10,121793
2023-03-11,111369
2023-03-12,95149
2023-03-13,100498
2023-03-14,107682
2023-03-15,120047
2023-03-16,124026
2023-03-17,112560
2023-03-18,121648
2023-03-19,100555
2023-03-20,91489
2023-03-21,101875
2023-03-22,106032
2023-03-23,114123
2023-03-24,111041
2023-03-25,115598
2023-03-26,94130
2023-03-27,96449
2023-03-28,104320
2023-03-29,111286
2023-03-30,119315
2023-03-31,115233
2023-04-01,116985
2023-04-02,99876
2023-04-03,96894
2023-04-04,108562
2023-04-05,115629
2023-04-06,108133
2023-04-07,106042
2023-04-08,101579
2023-04-09,88448
2023-04-10,89793
2023-04-11,104907
2023-04-12,113283
2023-04-13,122099
2023-04-14,123985
2023-04-15,118936
2023-04-16,98528
2023-04-17,97845
2023-04-18,115015
2023-04-19,117691
2023-04-20,125748
2023-04-21,116912
2023-04-22,118000
2023-04-23,98060
2023-04-24,99928
2023-04-25,112873
2023-04-26,120136
2023-04-27,124363
2023-04-28,123181
2023-04-29,110530
2023-04-30,94194
2023-05-01,99693
2023-05-02,115039
2023-05-03,119562
2023-05-04,126709
2023-05-05,121662
2023-05-06,121580
2023-05-07,101326
2023-05-08,98829
2023-05-09,115881
2023-05-10,120905
2023-05-11,130176
2023-05-12,126017
2023-05-13,122061
2023-05-14,109618
2023-05-15,109010
2023-05-16,124635
2023-05-17,132303
2023-05-18,134666
2023-05-19,128064
2023-05-20,119245
2023-05-21,102831
2023-05-22,103944
2023-05-23,116525
2023-05-24,125529
2023-05-25,117282
2023-05-26,102637
2023-05-27,94051
2023-05-28,83598
2023-05-29,75328
2023-05-30,100255
2023-05-31,114638
2023-06-01,123258
2023-06-02,118971
2023-06-03,118159
2023-06-04,100293
2023-06-05,103470
2023-06-06,121171
2023-06-07,123777
2023-06-08,119707
2023-06-09,115274
2023-06-10,112659
2023-06-11,97186
2023-06-12,107279
2023-06-13,117830
2023-06-14,122670
2023-06-15,127950
2023-06-16,111438
2023-06-17,106178
2023-06-18,92330
2023-06-19,86472
2023-06-20,108308
2023-06-21,116382
2023-06-22,121639
2023-06-23,114620
2023-06-24,109367
2023-06-25,94615
2023-06-26,100099
2023-06-27,109565
2023-06-28,105972
2023-06-29,105334
2023-06-30,95220
2023-07-01,81246
2023-07-02,68484
2023-07-03,64545
2023-07-04,57463
2023-07-05,84857
2023-07-06,93055
2023-07-07,90544
2023-07-08,90854
2023-07-09,79624
2023-07-10,88708
2023-07-11,103604
2023-07-12,110270
2023-07-13,112990
2023-07-14,99096
2023-07-15,101121
2023-07-16,80846
2023-07-17,93782
2023-07-18,106373
2023-07-19,110950
2023-07-20,111622
2023-07-21,100512
2023-07-22,99855
2023-07-23,86900
